Date,Open,High,Low,Close,Adj Close,Volume
2017-12-22,194.399994,195.649994,191.250000,195.270004,195.270004,11656900
2017-12-26,193.029999,197.750000,191.820007,197.440002,197.440002,8877000
2017-12-27,196.899994,199.970001,196.309998,197.169998,197.169998,8237200
2017-12-28,198.130005,199.380005,197.149994,197.399994,197.399994,6006200
2017-12-29,198.460007,198.460007,193.500000,193.500000,193.500000,6999100
2018-01-02,195.779999,199.500000,194.500000,199.350006,199.350006,8890400
2018-01-03,204.100006,213.699997,203.750000,212.470001,212.470001,22867600
2018-01-04,215.759995,218.050003,212.690002,213.589996,213.589996,14581700
2018-01-05,214.190002,216.910004,211.080002,215.399994,215.399994,14503100
2018-01-08,220.399994,225.000000,218.580002,222.000000,222.000000,22030400
2018-01-09,222.220001,223.820007,218.639999,221.940002,221.940002,12425000
2018-01-10,218.199997,223.820007,216.000000,223.679993,223.679993,14566600
2018-01-11,225.000000,226.270004,223.210007,224.080002,224.080002,10150800
2018-01-12,223.600006,224.990005,221.339996,222.979996,222.979996,8997900
2018-01-16,224.050003,227.509995,216.690002,220.110001,220.110001,17558700
2018-01-17,220.699997,225.119995,216.899994,224.720001,224.720001,13460200
2018-01-18,223.940002,226.639999,222.679993,224.440002,224.440002,10215800
2018-01-19,228.089996,231.089996,227.000000,230.110001,230.110001,14663600
2018-01-22,230.429993,230.860001,228.110001,230.320007,230.320007,3182580
